highest_batch,highest_acc
10,0.6195444444444445
30,0.6494333333333333
40,0.7149444444444444
50,0.7219388888888889
60,0.7585777777777778
70,0.7689722222222223
80,0.7805111111111113
90,0.7936666666666667
100,0.8101833333333334
130,0.8217277777777777
180,0.8309833333333334
190,0.8356166666666667
240,0.846361111111111
310,0.8544611111111111
370,0.8574333333333334
390,0.8587277777777776
400,0.8642555555555556
470,0.8683111111111111
480,0.8693055555555554
540,0.8694722222222222
580,0.8710666666666669
600,0.8733944444444445
660,0.8784277777777778
750,0.8790944444444445
810,0.8810555555555556
840,0.8812555555555555
850,0.8840833333333334
860,0.8878055555555555
960,0.8890111111111111
1040,0.8892222222222221
1090,0.8905555555555555
1150,0.8909333333333332
1180,0.8917611111111112
1200,0.894588888888889
1240,0.8959555555555557
1320,0.8964722222222223
1440,0.8988555555555555
1450,0.8988833333333334
1600,0.9011777777777779
1640,0.9026444444444444
1730,0.9049833333333334
2740,0.9057333333333333
2930,0.9068777777777777
3190,0.9082277777777777
4750,0.9088833333333334
5540,0.9092166666666668
6060,0.9094777777777778
6630,0.9094944444444446
6650,0.9100777777777778
6690,0.9115055555555553
7870,0.91245
7920,0.9143333333333332
10570,0.9148722222222222
13400,0.9151944444444444
20770,0.9152055555555556
20780,0.9153111111111111
23580,0.9153388888888887
